"format"|"id"|"media_type"|"label"|"file_extension"
"WARC_GZ"|"http://publications.europa.eu/resource/authority/file-type/WARC_GZ"|""|"WARC_GZ"|".warc.gz"
"WAV"|"http://publications.europa.eu/resource/authority/file-type/WAV"|""|"WAV"|".wav"
"WCS"|"http://publications.europa.eu/resource/authority/file-type/WCS_SRVC"|""|"WCS_SRVC"|"-"
"WCS_SRVC"|"http://publications.europa.eu/resource/authority/file-type/WCS_SRVC"|""|"WCS_SRVC"|"-"
"WEBP"|"http://publications.europa.eu/resource/authority/file-type/WEBP"|""|"WEBP"|".webp"
"WFS"|"http://publications.europa.eu/resource/authority/file-type/WFS_SRVC"|"http://www.opengis.net/def/serviceType/ogc/wfs"|"WFS_SRVC"|"-"
"WFS_SRVC"|"http://publications.europa.eu/resource/authority/file-type/WFS_SRVC"|"http://www.opengis.net/def/serviceType/ogc/wfs"|"WFS_SRVC"|"-"
"WFS-G"|""|"http://www.opengeospatial.org/standards/wfs-g"|"WFS-G"|""
"WIM"|"http://publications.europa.eu/resource/authority/file-type/WIM"|""|"WIM"|".swm"
"WMS"|"http://publications.europa.eu/resource/authority/file-type/WMS_SRVC"|"http://www.opengis.net/def/serviceType/ogc/wms"|"WMS_SRVC"|"-"
"WMS_SRVC"|"http://publications.europa.eu/resource/authority/file-type/WMS_SRVC"|"http://www.opengis.net/def/serviceType/ogc/wms"|"WMS_SRVC"|"-"
"WMS-C"|""|"http://www.opengis.net/def/serviceType/ogc/wms"|"WMS-C"|""
"WMTS"|"http://publications.europa.eu/resource/authority/file-type/WMTS_SRVC"|"http://www.opengeospatial.org/standards/wmts"|"WMTS_SRVC"|"-"
"WMTS_SRVC"|"http://publications.europa.eu/resource/authority/file-type/WMTS_SRVC"|"http://www.opengeospatial.org/standards/wmts"|"WMTS_SRVC"|"-"
"WNS"|""|"http://www.ogcnetwork.net/WNS"|"WNS"|""
"WORLD"|"http://publications.europa.eu/resource/authority/file-type/WORLD"|""|"WORLD"|".jgw"
"WPS"|""|"http://www.opengis.net/def/serviceType/ogc/wps"|"WPS"|""
"WSDL"|""|"http://www.w3.org/TR/wsdl"|"WSDL"|""
"XHTML"|"http://publications.europa.eu/resource/authority/file-type/XHTML"|""|"XHTML"|".html"
"XHTML_SIMPL"|"http://publications.europa.eu/resource/authority/file-type/XHTML_SIMPL"|""|"XHTML_SIMPL"|".html"
"XHTML5"|"http://publications.europa.eu/resource/authority/file-type/XHTML5"|""|"XHTML5"|".html"
"XLIFF"|"http://publications.europa.eu/resource/authority/file-type/XLIFF"|""|"XLIFF"|".xlf"
"XLS"|"http://publications.europa.eu/resource/authority/file-type/XLS"|"http://www.iana.org/assignments/media-types/application/vnd.ms-excel"|"XLS"|".xls"
"XLSB"|"http://publications.europa.eu/resource/authority/file-type/XLSB"|""|"XLSB"|".xlsb"
"XLSM"|"http://publications.europa.eu/resource/authority/file-type/XLSM"|""|"XLSM"|".xlsm"
"XLSX"|"http://publications.europa.eu/resource/authority/file-type/XLSX"|"http://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.spreadsheetml.sheet"|"XLSX"|".xlsx"
"XML"|"http://publications.europa.eu/resource/authority/file-type/XML"|"http://www.iana.org/assignments/media-types/text/xml"|"XML"|".xml"
"XSLFO"|"http://publications.europa.eu/resource/authority/file-type/XSLFO"|""|"XSLFO"|".fo"
"XSLT"|"http://publications.europa.eu/resource/authority/file-type/XSLT"|"http://www.iana.org/assignments/media-types/application/xslt+xml"|"XSLT"|".xslt"
"XYZ"|"http://publications.europa.eu/resource/authority/file-type/XYZ"|""|"XYZ"|".xyz"
"XZ"|"http://publications.europa.eu/resource/authority/file-type/XZ"|""|"XZ"|".xz"
"YAML"|"http://publications.europa.eu/resource/authority/file-type/YAML"|""|"YAML"|".yaml"
"Z"|"http://publications.europa.eu/resource/authority/file-type/Z"|""|"Z"|".Z"
"ZIP"|"http://publications.europa.eu/resource/authority/file-type/ZIP"|"http://www.iana.org/assignments/media-types/application/zip"|"ZIP"|".zip"
