"format"|"id"|"media_type"|"label"|"file_extension"
"FTP"|""|"http://tools.ietf.org/html/rfc959"|"FTP"|""
"FUSION-TABLES"|""|"http://google.com/fusiontables"|"FUSION-TABLES"|""
"GCS"|""|"http://cloud.google.com/storage/"|"GCS"|""
"GDB"|"http://publications.europa.eu/resource/authority/file-type/GDB"|""|"GDB"|".gdb"
"GEO"|""|""|"GEO"|""
"GEOGIGG"|""|"http://geogig.org"|"GEOGIGG"|""
"GEOJSON"|"http://publications.europa.eu/resource/authority/file-type/GEOJSON"|"http://www.iana.org/assignments/media-types/application/geo+json"|"GEOJSON"|".json"
"GEOTIFF"|"http://publications.europa.eu/resource/authority/file-type/GEOTIFF"|""|"GEOTIFF"|".tiff"
"GIF"|"http://publications.europa.eu/resource/authority/file-type/GIF"|""|"GIF"|".gif"
"GIT"|""|"http://git-scm.com/"|"GIT"|""
"GML"|"http://publications.europa.eu/resource/authority/file-type/GML"|"http://www.iana.org/assignments/media-types/application/gml+xml"|"GML"|".gml .xml"
"GMZ"|"http://publications.europa.eu/resource/authority/file-type/GMZ"|""|"GMZ"|".gmz"
"GPKG"|"http://publications.europa.eu/resource/authority/file-type/GPKG"|"http://www.iana.org/assignments/media-types/application/geopackage+sqlite3"|"GPKG"|".gpkg"
"GRID"|"http://publications.europa.eu/resource/authority/file-type/GRID"|"http://www.iana.org/assignments/media-types/application/vnd.gridmp"|"GRID"|"-"
"GRID_ASCII"|"http://publications.europa.eu/resource/authority/file-type/GRID_ASCII"|""|"GRID_ASCII"|".asc"
"GRIDDAP"|""|"http://coastwatch.pfeg.noaa.gov/erddap/griddap/documentation.html"|"GRIDDAP"|""
"GTFS"|"http://publications.europa.eu/resource/authority/file-type/GTFS"|""|"GTFS"|".zip"
"GZIP"|"http://publications.europa.eu/resource/authority/file-type/GZIP"|"http://www.iana.org/assignments/media-types/application/gzip"|"GZIP"|".gz"
"HDF"|"http://publications.europa.eu/resource/authority/file-type/HDF"|""|"HDF"|".hdf"
"HDT"|"http://publications.europa.eu/resource/authority/file-type/HDT"|"http://www.iana.org/assignments/media-types/application/vnd.hdt"|"HDT"|".hdt"
"HTML"|"http://publications.europa.eu/resource/authority/file-type/HTML"|"http://www.iana.org/assignments/media-types/text/html"|"HTML"|".html"
"HTML_SIMPL"|"http://publications.europa.eu/resource/authority/file-type/HTML_SIMPL"|""|"HTML_SIMPL"|".html"
"HTML5"|"http://publications.europa.eu/resource/authority/file-type/HTML5"|""|"HTML5"|".html"
"http"|""|"http://www.ietf.org/rfc/rfc2616"|"http"|""
"HYRAX"|""|""|"HYRAX"|""
"ICS"|"http://publications.europa.eu/resource/authority/file-type/ICS"|""|"ICS"|".ical"
"IMAGE"|""|"http://iiif.io/api/image"|"IMAGE"|""
"IMMC_XML"|"http://publications.europa.eu/resource/authority/file-type/IMMC_XML"|""|"IMMC_XML"|"_immc.xml"
"INDD"|"http://publications.europa.eu/resource/authority/file-type/INDD"|""|"INDD"|".indd"
"INFORMATION"|""|""|"INFORMATION"|""
"IOT"|""|"http://www.ogcnetwork.net/IoT"|"IOT"|""
"IPA"|"http://publications.europa.eu/resource/authority/file-type/IPA"|""|"IPA"|".ipa"
"ISO"|"http://publications.europa.eu/resource/authority/file-type/ISO"|"http://www.iana.org/assignments/media-types/application/vnd.efi.iso"|"ISO"|".iso"
"ISO_ZIP"|"http://publications.europa.eu/resource/authority/file-type/ISO_ZIP"|""|"ISO_ZIP"|".zip"
"ISO-USGIN"|""|""|"ISO-USGIN"|""
"ISO-USGIN-1.3"|""|""|"ISO-USGIN-1.3"|""
"ISO19115"|""|""|"ISO19115"|""
"JAR"|"http://publications.europa.eu/resource/authority/file-type/JAR"|""|"JAR"|".jar"
"JATS"|"http://publications.europa.eu/resource/authority/file-type/JATS"|""|"JATS"|".xml"
"JOINS"|""|"http://www.opengis.net/def/interface/ogcapi-joins"|"JOINS"|""
"JPEG"|"http://publications.europa.eu/resource/authority/file-type/JPEG"|""|"JPEG"|".jpeg"
"JPEG2000"|"http://publications.europa.eu/resource/authority/file-type/JPEG2000"|""|"JPEG2000"|".jp2"
"JS"|"http://publications.europa.eu/resource/authority/file-type/JS"|"http://www.iana.org/assignments/media-types/application/javascript"|"JS"|".js"
"JSON"|"http://publications.europa.eu/resource/authority/file-type/JSON"|"http://www.iana.org/assignments/media-types/application/json"|"JSON"|".json"
"JSON_LD"|"http://publications.europa.eu/resource/authority/file-type/JSON_LD"|"http://www.iana.org/assignments/media-types/application/ld+json"|"JSON_LD"|".jsonld"
"KML"|"http://publications.europa.eu/resource/authority/file-type/KML"|"http://www.iana.org/assignments/media-types/application/vnd.google-earth.kml+xml"|"KML"|".kml"
"KMZ"|"http://publications.europa.eu/resource/authority/file-type/KMZ"|"http://www.iana.org/assignments/media-types/application/vnd.google-earth.kmz"|"KMZ"|".kmz"
"LAS"|"http://publications.europa.eu/resource/authority/file-type/LAS"|"http://www.iana.org/assignments/media-types/application/vnd.las"|"LAS"|".las"
"LAZ"|"http://publications.europa.eu/resource/authority/file-type/LAZ"|"http://www.iana.org/assignments/media-types/application/vnd.laszip"|"LAZ"|".laz"
"LEG"|"http://publications.europa.eu/resource/authority/file-type/LEG"|""|"LEG"|".leg"
"LHA"|"http://publications.europa.eu/resource/authority/file-type/LHA"|""|"LHA"|".lzh"
"LINK"|""|"http://www.w3.org/TR/xlink/"|"LINK"|""
"LPK"|"http://publications.europa.eu/resource/authority/file-type/LPK"|""|"LPK"|".lpk"
"LZIP"|"http://publications.europa.eu/resource/authority/file-type/LZIP"|""|"LZIP"|".lz"
"LZMA"|"http://publications.europa.eu/resource/authority/file-type/LZMA"|""|"LZMA"|".lzma"
"LZO"|"http://publications.europa.eu/resource/authority/file-type/LZO"|""|"LZO"|".lzo"
"MAP"|"http://publications.europa.eu/resource/authority/file-type/MAP_SRVC"|""|"MAP_SRVC"|"-"
"MAP_PRVW"|"http://publications.europa.eu/resource/authority/file-type/MAP_PRVW"|""|"MAP_PRVW"|"-"
