ID|Language|label|definition|description|collection|parent|successor|predecessor|registry|register|ReferenceSource|ReferenceLink|governance-level-item|LegislationURI|LegislationLabel|EIONETURI|EIONETLabel|status
http://www.opengis.net/def/serviceType/ogc/csw|es|OGC Catalogue Service for the Web|||http://inspire.ec.europa.eu/metadata-codelist/ProtocolValue||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://www.opengis.net/def/serviceType/ogc/sos|es|OGC Sensor Observation Service|||http://inspire.ec.europa.eu/metadata-codelist/ProtocolValue||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://www.opengis.net/def/serviceType/ogc/wcs|es|OGC Web Coverage Service|||http://inspire.ec.europa.eu/metadata-codelist/ProtocolValue||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://www.opengis.net/def/serviceType/ogc/wfs|es|OGC Web Feature Service|||http://inspire.ec.europa.eu/metadata-codelist/ProtocolValue||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://www.opengis.net/def/serviceType/ogc/wms|es|OGC Web Map Service|||http://inspire.ec.europa.eu/metadata-codelist/ProtocolValue||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
http://www.opengis.net/def/serviceType/ogc/wmts|es|OGC Web Map Tile Service|||http://inspire.ec.europa.eu/metadata-codelist/ProtocolValue||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
https://tools.ietf.org/html/rfc4287|es|ATOM Syndication Format|||http://inspire.ec.europa.eu/metadata-codelist/ProtocolValue||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-technical|||||http://inspire.ec.europa.eu/registry/status/valid
