ID|Language|label|definition|description|collection|parent|successor|predecessor|registry|register|ReferenceSource|ReferenceLink|governance-level-item|LegislationURI|LegislationLabel|EIONETURI|EIONETLabel|status
http://inspire.ec.europa.eu/metadata-codelist/IACSData/lpis|es|SIP|Sistema de identificación de parcelas, un subsistema del sistema integrado de gestión y control (SIGC), tal como se define en el artículo 68 del Reglamento (CE) n.º 1306/2013.Subsystem del SIGC, tal como se define en el artículo 68 del Reglamento (CE) n.º 1306/2013.|Conjunto de datos espaciales que contiene las delimitaciones de las parcelas de referencia, los tipos de superficies agrícolas y las superficies de interés ecológico estables.|http://inspire.ec.europa.eu/metadata-codelist/IACSData||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-good-practice|http://data.europa.eu/eli/reg/2013/1306/oj|REGLAMENTO (UE) No 1306/2013|||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/IACSData/gsaa|es|GSAA|Solicitud de ayuda geoespacial como parte del subsistema de solicitudes de ayuda del SIGC, definido en el artículo 68 del Reglamento (CE) n.º 1306/2013.|Delimitación de parcelas agrícolas con cultivos o grupos de cultivos cultivados presentada por el agricultor en un año determinado|http://inspire.ec.europa.eu/metadata-codelist/IACSData||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-good-practice|http://data.europa.eu/eli/reg/2013/1306/oj|REGLAMENTO (UE) No 1306/2013|||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/IACSData/iacs|es|SIGC|Sistema integrado de gestión y control, tal como se define en el artículo 67 del Reglamento (CE) n.º 1306/2013|Sistema aplicado por los Estados miembros para determinados pagos previstos en el Reglamento (UE) n.º 1307/2013 y en el Reglamento (UE) n.º 1305/2013|http://inspire.ec.europa.eu/metadata-codelist/IACSData||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-good-practice|http://data.europa.eu/eli/reg/2013/1306/oj|REGLAMENTO (UE) No 1306/2013|||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/IACSData/referenceParcel|es|Parcela de referencia|Superficie delimitada geográficamente con una identificación y un valor de superficie únicos que pueden optar a los pagos de ayuda|Unidad espacial básica para la administración y localización geográfica de parcelas agrícolas.Puede contener una o varias parcelas agrícolas declaradas en el SIGC y puede ser cultivada por uno o varios agricultores|http://inspire.ec.europa.eu/metadata-codelist/IACSData||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-good-practice|http://data.europa.eu/eli/reg/2013/1306/oj|REGLAMENTO (UE) No 1306/2013|||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/IACSData/agriculturalArea|es|Superficie agraria|Cualquier superficie dedicada a tierras de cultivo, pastos permanentes y pastizales permanentes, o cultivos permanentes.|Superficies ocupadas por estos tipos de cobertura del suelo, o sus subtipos (categorías más restringidas) que incluyan elementos paisajísticos designados o árboles incluidos en estas zonas.|http://inspire.ec.europa.eu/metadata-codelist/IACSData||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-good-practice|http://data.europa.eu/eli/reg/2013/1306/oj|REGLAMENTO (UE) No 1306/2013|||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/IACSData/ecologicalFocusArea|es|Superficie de interés ecológico|Superficies de interés ecológico (SIE) a que se refieren el artículo 46 del Reglamento (UE) No1307/2013 y su Reglamento Delegado (UE) n.º 639/2014|Zonas beneficiosas para el medio ambiente y el clima|http://inspire.ec.europa.eu/metadata-codelist/IACSData||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-good-practice|http://data.europa.eu/eli/reg/2013/1306/oj|REGLAMENTO (UE) No 1306/2013|||http://inspire.ec.europa.eu/registry/status/valid
