ID|Language|label|definition|description|collection|parent|successor|predecessor|registry|register|ReferenceSource|ReferenceLink|governance-level-item|LegislationURI|LegislationLabel|EIONETURI|EIONETLabel|status
http://inspire.ec.europa.eu/metadata-codelist/SpatialDataServiceType/discovery|es|Servicio de localización|Servicio que permite buscar conjuntos y servicios de datos espaciales a partir del contenido de los metadatos correspondientes, y mostrar el contenido de dichos metadatos.||http://inspire.ec.europa.eu/metadata-codelist/SpatialDataServiceType||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/SpatialDataServiceType/view|es|Servicio de visualización|Servicio que permite, como mínimo, mostrar, navegar, acercarse o alejarse mediante zoom o contemplar, en visión panorámica o superposición, conjuntos de datos espaciales, así como mostrar los signos convencionales o cualquier contenido pertinente de los metadatos.||http://inspire.ec.europa.eu/metadata-codelist/SpatialDataServiceType||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/SpatialDataServiceType/download|es|Servicio de descarga|Servicio que permite descargar copias de conjuntos de datos espaciales, o partes de estos y, cuando sea posible, acceder directamente a ellos.||http://inspire.ec.europa.eu/metadata-codelist/SpatialDataServiceType||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/SpatialDataServiceType/transformation|es|Servicio de transformación|Servicio que permite transformar conjuntos de datos espaciales con vistas a lograr su interoperabilidad.||http://inspire.ec.europa.eu/metadata-codelist/SpatialDataServiceType||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/SpatialDataServiceType/invoke|es|Servicio de acceso a datos espaciales|Servicio que permite definir tanto las entradas de datos como las salidas que se esperan del servicio espacial, así como un flujo de trabajo o cadena de servicios que combina múltiples servicios También permite definir la interfaz del servicio de Web externo del flujo de trabajo o de la cadena de servicios.||http://inspire.ec.europa.eu/metadata-codelist/SpatialDataServiceType||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
http://inspire.ec.europa.eu/metadata-codelist/SpatialDataServiceType/other|es|Otros servicios|||http://inspire.ec.europa.eu/metadata-codelist/SpatialDataServiceType||||||||http://inspire.ec.europa.eu/registry/governance-level/eu-legal|||||http://inspire.ec.europa.eu/registry/status/valid
